iter	Passed	Remaining
527	19897	17786
528	19934	17748
529	19972	17711
530	20006	17670
531	20041	17630
532	20079	17592
533	20114	17553
534	20150	17514
535	20186	17475
536	20222	17436
537	20257	17395
538	20291	17355
539	20323	17312
540	20356	17271
541	20392	17232
542	20428	17193
543	20467	17156
544	20501	17115
545	20533	17073
546	20570	17035
547	20606	16996
548	20640	16956
549	20676	16917
550	20712	16878
551	20754	16844
552	20788	16803
553	20822	16763
554	20857	16723
555	20891	16683
556	20926	16643
557	20962	16604
558	20998	16565
559	21034	16527
560	21072	16489
561	21109	16451
562	21163	16427
563	21213	16398
564	21248	16359
565	21286	16322
566	21319	16281
567	21355	16242
568	21389	16202
569	21425	16162
570	21460	16123
571	21491	16080
572	21525	16040
573	21560	16001
574	21593	15960
575	21626	15919
576	21666	15883
577	21700	15843
578	21735	15804
579	21769	15764
580	21802	15723
581	21835	15682
582	21869	15642
583	21906	15604
584	21941	15565
585	21971	15522
586	22006	15483
587	22043	15445
588	22084	15410
589	22121	15372
590	22154	15332
591	22189	15292
592	22224	15253
593	22262	15216
594	22299	15178
595	22334	15139
596	22370	15100
597	22404	15061
598	22436	15020
599	22474	14983
600	22512	14946
601	22548	14907
602	22583	14868
603	22617	14828
604	22651	14788
605	22684	14748
606	22717	14708
607	22751	14669
608	22786	14629
609	22822	14591
610	22854	14550
611	22890	14512
612	22926	14473
613	22958	14432
614	22991	14393
615	23028	14355
616	23061	14315
617	23117	14289
618	23163	14257
619	23192	14214
620	23224	14174
621	23256	14133
622	23289	14093
623	23325	14054
624	23358	14014
625	23394	13976
626	23427	13937
627	23467	13901
628	23505	13864
629	23544	13827
630	23580	13789
631	23616	13751
632	23650	13711
633	23685	13673
634	23722	13635
635	23758	13597
636	23795	13559
637	23833	13523
638	23867	13483
639	23899	13443
640	23932	13403
641	23969	13366
642	24003	13327
643	24039	13289
644	24074	13250
645	24117	13215
646	24151	13177
647	24238	13166
648	24331	13159
649	24366	13120
650	24403	13082
651	24434	13041
652	24480	13008
653	24529	12977
654	24570	12941
655	24605	12903
656	24639	12863
657	24678	12826
658	24712	12787
659	24752	12751
660	24787	12712
661	24821	12673
662	24856	12634
663	24894	12596
664	24925	12556
665	24961	12518
666	24993	12478
667	25031	12440
668	25061	12399
669	25093	12359
670	25127	12320
671	25157	12279
672	25188	12238
673	25219	12198
674	25248	12156
675	25288	12120
676	25323	12082
677	25357	12043
678	25391	12003
679	25424	11964
680	25458	11925
681	25494	11887
682	25532	11850
683	25569	11812
684	25619	11781
685	25670	11750
686	25696	11707
687	25724	11665
688	25751	11623
689	25778	11581
690	25808	11540
691	25840	11501
692	25890	11469
693	25940	11437
694	25984	11403
695	26011	11361
696	26041	11320
697	26071	11280
698	26101	11239
699	26134	11200
700	26166	11160
701	26197	11120
702	26228	11080
703	26260	11041
704	26295	11003
705	26329	10964
706	26360	10924
707	26393	10885
708	26425	10845
709	26461	10808
710	26494	10769
711	26532	10732
712	26572	10696
713	26607	10657
714	26641	10619
715	26674	10580
716	26706	10541
717	26739	10502
718	26770	10462
719	26801	10422
720	26833	10383
721	26863	10343
722	26891	10303
723	26923	10263
724	26952	10223
725	26988	10185
726	27016	10145
727	27047	10105
728	27078	10066
729	27110	10027
730	27139	9987
731	27172	9948
732	27204	9909
733	27237	9870
734	27265	9830
735	27294	9790
736	27326	9751
737	27356	9711
738	27387	9672
739	27417	9633
740	27451	9594
741	27485	9556
742	27516	9517
743	27545	9478
744	27577	9439
745	27623	9405
746	27652	9365
747	27683	9326
748	27713	9287
749	27749	9249
750	27781	9211
751	27814	9172
752	27844	9133
753	27877	9095
754	27908	9056
755	27941	9018
756	27975	8980
757	28010	8942
758	28044	8904
759	28077	8866
760	28108	8827
761	28138	8788
762	28171	8750
763	28203	8712
764	28235	8673
765	28269	8635
766	28302	8597
767	28340	8561
768	28373	8523
769	28407	8485
770	28440	8447
771	28472	8408
772	28501	8369
773	28528	8330
774	28563	8292
775	28596	8254
776	28628	8216
777	28656	8177
778	28688	8138
779	28720	8100
780	28750	8061
781	28783	8024
782	28817	7986
783	28848	7947
784	28880	7910
785	28911	7871
786	28945	7834
787	28976	7795
788	29008	7757
789	29040	7719
790	29071	7681
791	29101	7642
792	29129	7603
793	29161	7565
794	29199	7529
795	29229	7490
796	29259	7452
797	29294	7415
798	29325	7377
799	29358	7339
800	29388	7301
801	29424	7264
802	29457	7226
803	29490	7189
804	29524	7151
805	29628	7131
806	29679	7097
807	29717	7061
808	29751	7024
809	29779	6985
810	29811	6947
811	29844	6909
812	29879	6872
813	29912	6835
814	29941	6796
815	29972	6758
816	30004	6720
817	30035	6682
818	30073	6646
819	30105	6608
820	30136	6570
821	30167	6532
822	30197	6494
823	30228	6456
824	30259	6418
825	30289	6380
826	30319	6342
827	30351	6304
828	30381	6266
829	30410	6228
830	30443	6191
831	30474	6153
832	30505	6115
833	30534	6077
834	30564	6039
835	30593	6001
836	30626	5964
837	30656	5926
838	30688	5888
